orderID|studentID|cuisineType|orderStatus|assignedStallID|total|orderTime
ORD1001|TP077278|Malay|Assigned|STL01|13|2026-07-20 12:01:00
ORD1002|TP077333|Malay|Pending|NONE|12|2026-07-20 12:04:00
ORD1003|TP077312|Malay|Pending|NONE|9.5|2026-07-20 12:07:00
ORD1004|TP077342|Chinese|Pending|NONE|8.5|2026-07-20 12:10:00
ORD1005|TP078101|Chinese|Pending|NONE|7.5|2026-07-20 12:13:00
ORD1006|TP078102|Chinese|Pending|NONE|8|2026-07-20 12:16:00
ORD1007|TP078103|Chinese|Pending|NONE|16|2026-07-20 12:19:00
ORD1008|TP078104|Malay|Assigned|STL01|9.5|2026-07-20 11:30:00
ORD1009|TP078105|Malay|Completed|STL02|6.5|2026-07-20 11:32:00
ORD1010|TP078106|Malay|Assigned|STL02|7|2026-07-20 11:34:00
ORD1011|TP078107|Chinese|Assigned|STL04|8.5|2026-07-20 11:36:00
ORD1012|TP078108|Chinese|Preparing|STL05|7.5|2026-07-20 11:38:00
ORD1013|TP078109|Chinese|Assigned|STL05|8|2026-07-20 11:40:00
ORD1014|TP078110|Western|Preparing|STL07|18.5|2026-07-20 11:42:00
ORD1015|TP077278|Beverages|Assigned|STL09|11|2026-07-20 11:44:00
ORD1016|TP077333|Malay|Completed|STL03|5|2026-07-20 10:30:00
ORD1017|TP077312|Chinese|Completed|STL06|12|2026-07-20 10:35:00
ORD1018|TP077342|Indian|Completed|STL08|14|2026-07-20 10:40:00
ORD1019|TP078101|Healthy Food|Completed|STL10|11|2026-07-20 10:45:00

