orderItemID|orderID|itemID|quantity|unitPrice|lineTotal|custNotes
OI1001|ORD1001|MI001|2|6.5|13|Less spicy
OI1002|ORD1002|MI003|1|9.5|9.5|Extra sambal
OI1003|ORD1002|MI004|1|2.5|2.5|Serve hot
OI1004|ORD1003|MI002|1|7|7|Less oily
OI1005|ORD1003|MI004|1|2.5|2.5|No special request
OI1006|ORD1004|MI005|1|8.5|8.5|No cucumber
OI1007|ORD1005|MI006|1|7.5|7.5|No egg
OI1008|ORD1006|MI007|1|8|8|Extra vegetables
OI1009|ORD1007|MI005|1|8.5|8.5|No skin
OI1010|ORD1007|MI006|1|7.5|7.5|Less salt
OI1011|ORD1008|MI003|1|9.5|9.5|Extra crispy
OI1012|ORD1009|MI001|1|6.5|6.5|Less sambal
OI1013|ORD1010|MI002|1|7|7|Less oily
OI1014|ORD1011|MI005|1|8.5|8.5|No skin
OI1015|ORD1012|MI006|1|7.5|7.5|No egg
OI1016|ORD1013|MI007|1|8|8|Extra vegetables
OI1017|ORD1014|MI010|1|13|13|Extra sauce
OI1018|ORD1014|MI012|1|5.5|5.5|Serve hot
OI1019|ORD1015|MI019|1|5|5|Less ice
OI1020|ORD1015|MI020|1|6|6|Takeaway
OI1021|ORD1016|MI004|2|2.5|5|Serve hot
OI1022|ORD1017|MI005|1|8.5|8.5|No cucumber
OI1023|ORD1017|MI008|1|3.5|3.5|Extra sauce
OI1024|ORD1018|MI013|1|10|10|Less rice
OI1025|ORD1018|MI016|2|2|4|Extra sauce
OI1026|ORD1019|MI021|1|11|11|Dressing separately
OI1027|ORD1020|MI011|1|14.5|14.5|Cancelled because item sold out
